Name	00D_1	00D_2	00D_3	07D_1	07D_2	07D_3	16D_1	16D_2	16D_3	30D_1	30D_2	30D_3	50D_1	50D_2	50D_3	55D_1	55D_2	55D_3	60D_1	60D_2	60D_3
BC332_33234_mrna	405.0	383.0	244.0	420.0	368.0	387.0	458.0	382.0	549.0	415.0	321.0	358.0	522.0	531.0	570.0	596.0	407.0	508.0	603.0	548.0	399.0
BC332_34447_mrna	554.0	437.0	269.0	1173.0	1168.0	1152.0	1547.0	1533.0	1770.0	1740.0	1667.0	1644.0	1024.0	687.0	1087.0	438.0	370.0	376.0	875.0	639.0	1058.0
BC332_11632_mrna	661.0	731.0	406.0	504.0	256.0	251.0	195.0	108.0	134.0	229.0	254.0	163.0	311.0	627.0	454.0	537.0	852.0	803.0	972.0	774.0	1099.0
BC332_12248_mrna	2366.0	2207.0	2000.0	666.0	1008.0	1195.0	123.0	135.0	187.0	439.0	162.0	262.0	1078.0	1459.0	729.0	2455.0	2032.0	2661.0	2848.0	2589.0	2614.0
BC332_23768_mrna	26.0	158.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	1.0	4.0	4.0	22.0	9.0
BC332_21317_mrna	9.0	12.0	2.0	16.0	2.0	2.0	2.0	2.0	4.0	3.0	2.0	6.0	2.0	1.0	4.0	0.0	0.0	0.0	1.0	0.0	0.0
BC332_01119_mrna	2.0	22.0	6.0	8.0	10.0	5.0	2.0	0.0	9.0	0.0	0.0	5.0	3.0	1.0	1.0	6.0	2.0	6.0	7.0	13.0	5.0
BC332_25596_mrna	221.0	121.0	91.0	170.0	145.0	120.0	95.0	76.0	110.0	153.0	166.0	104.0	89.0	84.0	123.0	43.0	52.0	56.0	89.0	134.0	172.0
BC332_19789_mrna	6.0	15.0	6.0	47.0	24.0	12.0	14.0	18.0	8.0	11.0	10.0	7.0	49.0	37.0	30.0	34.0	32.0	49.0	40.0	5.0	29.0
BC332_09022_mrna	2.0	9.0	4.0	9.0	5.0	3.0	18.0	11.0	17.0	18.0	21.0	11.0	16.0	22.0	29.0	24.0	44.0	43.0	24.0	7.0	11.0
BC332_23450_mrna	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0
BC332_12024_mrna	47.0	30.0	29.0	7.0	3.0	4.0	0.0	0.0	1.0	12.0	2.0	4.0	7.0	5.0	4.0	3.0	2.0	1.0	4.0	8.0	3.0
BC332_03205_mrna	7.0	0.0	0.0	0.0	7.0	3.0	1.0	1.0	2.0	0.0	2.0	0.0	4.0	3.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0
BC332_26782_mrna	0.0	6.16876	0.0	3.18908	0.0	0.0	1.05e-06	10.5044	0.0	6.82994	0.0	0.0	11.1051	0.0	11.7829	3.0	0.0	0.0	8.0	5.0	0.0
BC332_21776_mrna	313.0	393.0	179.0	476.0	454.0	504.0	555.0	313.0	564.0	532.0	521.0	422.0	293.0	414.0	424.0	179.0	233.0	264.0	184.0	260.0	209.0
BC332_13573_mrna	145.475	115.115	88.4701	225.072	171.361	139.502	200.046	146.53	204.032	177.46	125.677	141.142	177.87	222.881	235.889	173.243	159.631	176.401	143.3	35.2774	142.041
BC332_12335_mrna	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_30849_mrna	1.0	4.0	4.0	3.0	2.0	0.0	2.0	0.0	0.0	4.0	1.0	3.0	4.0	0.0	6.0	1.0	3.0	1.0	0.0	1.0	0.0
BC332_09970_mrna	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_11160_mrna	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_00718_mrna	6.0	3.0	3.0	5.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0
BC332_13144_mrna	506.0	352.0	288.0	380.0	319.0	268.0	291.0	285.0	411.0	335.0	306.0	346.0	406.0	387.0	496.0	213.0	187.0	256.0	223.0	195.0	187.0
BC332_28902_mrna	33.0567	25.8042	17.471	80.894	46.8451	41.6143	67.6631	47.2899	64.0651	26.6866	38.285	20.0471	18.0	23.0	30.3634	8.0	15.4634	18.3861	15.0	0.0	18.0
BC332_29868_mrna	133.0	154.27	57.0	75.8519	98.4468	97.7138	179.73	104.366	138.698	198.466	188.0	137.873	96.0	130.0	123.432	97.7339	86.0	105.0	109.239	125.793	58.8838
BC332_13364_mrna	4.0	4.0	4.0	0.0	6.0	5.0	1.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_14764_mrna	5.58135	4.91684	1.92329	3.96122	1.83239	1.98914	1.51328	1.58312	2.01076	3.46796	6.49314	1.75282	1.75534	8.18445	4.0603	1.59333	1.6246	0.803051	1.58709	4.92745	1.85056
BC332_04619_mrna	1.0	0.0	0.0	4.0	1.0	6.0	1.0	6.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
BC332_11406_mrna	32.0	28.0	14.0	57.0	52.0	47.0	93.0	68.0	88.0	123.0	105.0	102.0	42.0	70.0	39.0	20.0	1.0	6.0	12.0	35.0	21.0
BC332_03061_mrna	1557.0	1577.0	802.0	2086.0	2139.0	2330.0	2129.0	1560.0	1933.0	920.0	911.0	716.0	792.0	1109.0	649.0	590.0	855.0	869.0	641.0	991.0	457.0
BC332_12143_mrna	383.0	343.0	227.0	476.0	311.0	334.0	344.0	292.0	347.0	685.0	530.0	483.0	207.0	174.0	353.0	16.0	22.0	15.0	153.0	241.0	140.0
BC332_16915_mrna	42.0	66.0	64.0	124.0	98.0	42.0	79.0	79.0	135.0	113.0	160.0	127.0	223.0	183.0	184.0	67.0	63.0	78.0	71.0	5.0	110.0
BC332_04919_mrna	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_24962_mrna	463.0	390.0	269.0	503.0	437.0	425.0	568.0	380.0	540.0	604.0	521.0	478.0	362.0	496.0	441.0	300.0	356.0	380.0	452.0	437.0	339.0
BC332_00923_mrna	0.0	0.0	0.0	0.0	1.0	8.0	1.0	2.0	9.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_26635_mrna	393.0	394.0	218.0	513.0	418.0	382.0	437.0	417.0	557.0	585.0	561.0	485.0	606.0	855.0	752.0	896.0	1380.0	1120.0	768.0	284.0	624.0
BC332_04840_mrna	1.0	0.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
BC332_14059_mrna	4.0	3.0	3.8088	5.0	4.0	5.87638	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0
BC332_31804_mrna	2.0	0.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	1.03607	0.0	1.07676	0.0	7.21756	0.0	0.0	0.0	0.0	1.06274	0.0	0.0
BC332_27678_mrna	44.0	62.0	54.0	28.0	65.0	58.0	14.0	31.0	57.0	106.0	64.0	67.0	179.0	672.0	101.0	272.0	282.0	201.0	276.0	347.0	312.0
BC332_26606_mrna	185.0	206.0	64.0	591.0	647.0	624.0	168.0	140.0	233.0	18.0	40.0	8.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_33823_mrna	5.79489	3.88552	0.0	0.0	0.0	4.70536	0.0	0.0	2.14702	0.0	0.0	0.0	3.92897	1.93871	0.0	1.19442	3.815	2.10252	1.37056	0.0	0.0
BC332_33842_mrna	808.0	851.0	385.0	105.0	149.0	149.0	188.0	126.0	232.0	407.0	392.0	333.0	488.0	1662.0	441.0	2418.0	3523.0	2745.0	2481.0	2476.0	1388.0
BC332_10682_mrna	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_05651_mrna	849.0	864.0	514.0	1142.0	1223.0	1130.0	1687.0	1449.0	1755.0	2463.0	1993.0	2441.0	2292.0	3070.0	2505.0	1283.0	1337.0	1364.0	1953.0	1775.0	1552.0
BC332_22645_mrna	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_13465_mrna	11.0	22.0	8.0	35.0	21.0	19.0	25.0	24.0	36.0	46.0	43.0	57.0	44.0	52.0	50.0	57.0	44.0	36.0	67.0	21.0	68.0
BC332_18941_mrna	115.0	54.0	22.0	49.0	61.0	91.0	520.0	613.0	939.0	1302.0	1320.0	987.0	164.0	205.0	290.0	8.0	8.0	6.0	9.0	16.0	2.0
BC332_05495_mrna	115.0	87.0	74.0	149.0	127.0	137.0	99.0	83.0	108.0	109.0	107.0	85.0	78.0	59.0	109.0	33.0	18.0	36.0	65.0	95.0	53.0
BC332_10418_mrna	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_01505_mrna	0.0	1.1459	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_18562_mrna	37.0	51.0	26.0	29.0	20.0	36.0	12.0	6.0	11.0	6.0	9.0	7.0	11.0	6.0	4.0	5.0	5.0	4.0	3.0	7.0	4.0
BC332_29806_mrna	56.0	117.0	64.0	10.0	11.0	19.0	8.0	1.0	6.0	14.0	5.0	14.0	22.0	20.0	12.0	24.0	34.0	15.0	8.0	32.0	8.0
BC332_12788_mrna	0.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_32590_mrna	0.0	0.0	0.0	1.0	4.00927	0.0	0.0	2.0	1.0	5.0	6.0	3.0	37.0	40.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_34035_mrna	943.0	930.0	474.0	1760.0	1851.0	1788.0	2014.0	1590.0	2076.0	2333.0	1938.0	1849.0	1052.0	1456.0	1362.0	99.0	51.0	88.0	546.0	1212.0	672.0
BC332_15439_mrna	627.0	740.997	374.0	470.0	493.0	522.0	445.986	264.0	501.0	397.0	373.953	333.0	452.0	504.973	385.0	423.0	456.981	528.981	756.982	641.0	525.0
BC332_25232_mrna	436.0	419.0	296.0	808.0	817.0	757.0	944.0	917.0	1112.0	1713.0	1358.0	1421.0	1055.0	1030.0	1312.0	209.0	178.0	172.0	226.0	286.0	289.0
BC332_20700_mrna	37.0	20.0	24.0	15.0	8.34208	5.0	27.4814	22.0082	50.2079	70.737	53.9388	59.7657	26.7058	2.13414	33.4837	0.0	0.0	0.0	0.0	0.0	0.0
BC332_16075_mrna	3037.0	2672.0	1781.0	5209.0	3296.0	3389.0	2509.0	2115.0	2933.0	3832.0	3797.0	3471.0	3477.0	4618.0	3444.0	3263.0	3848.0	3886.0	2539.0	1988.0	2227.0
BC332_14947_mrna	12.0	43.0	14.0	31.0	22.0	14.0	44.0	20.0	89.0	195.0	68.0	616.0	5685.0	7952.0	1520.0	16326.0	9973.0	30395.0	24764.0	36645.0	11669.0
BC332_19602_mrna	313.0	266.0	160.0	522.0	354.0	375.0	464.0	394.0	556.0	616.0	751.0	627.0	590.0	664.0	770.0	540.0	854.0	807.0	596.0	425.0	515.0
BC332_25011_mrna	579.0	479.0	280.0	425.0	425.0	516.0	978.0	714.0	1115.0	853.0	758.0	783.0	541.0	658.0	735.0	214.0	161.0	182.0	235.0	467.0	245.0
BC332_23616_mrna	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_19941_mrna	0.0	5.0	1.0	8.0	1.0	6.0	7.0	5.0	2.0	7.0	2.0	1.0	2.0	1.0	5.0	3.0	2.0	1.0	2.0	3.0	2.0
BC332_33453_mrna	156.088	153.911	97.2429	203.909	184.035	197.469	141.365	123.552	151.096	219.017	209.837	193.801	139.928	173.258	239.544	122.152	107.577	113.71	128.661	155.56	126.041
BC332_13975_mrna	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_05788_mrna	1001.0	998.0	591.0	881.0	741.0	731.0	728.0	645.0	840.0	831.0	954.0	838.0	804.0	814.0	975.0	412.0	415.0	498.0	481.0	514.0	435.0
BC332_07723_mrna	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_12041_mrna	2.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_18355_mrna	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_11640_mrna	142.0	427.0	115.0	119.0	106.0	115.0	54.0	32.0	99.0	61.0	46.0	30.0	68.0	33.0	79.0	112.0	51.0	79.0	216.0	310.0	189.0
BC332_28309_mrna	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_05589_mrna	1570.0	1379.0	874.0	1635.0	1592.0	1563.0	1426.0	1294.0	1697.0	765.0	755.0	849.0	454.0	666.0	900.0	938.0	1462.0	1230.0	1319.0	705.0	1297.0
BC332_34845_mrna	6.0	1.0351	3.0	16.3583	10.0	6.58919	7.53319	3.19221	0.0	3.17271	5.88822	2.0	4.0	8.0	4.59677	0.0	1.0	1.30848	1.0	1.0	1.21725
BC332_14144_mrna	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_13010_mrna	320.0	259.0	160.0	535.0	419.0	355.0	527.0	505.0	587.0	581.0	521.0	585.0	748.0	883.0	808.0	495.0	533.0	555.0	743.0	284.0	528.0
BC332_23878_mrna	92.0	215.0	87.0	139.0	90.0	117.0	226.0	191.0	319.0	364.0	331.0	313.0	132.0	104.0	146.0	110.0	100.0	117.0	114.0	76.0	106.0
BC332_13350_mrna	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_22936_mrna	0.0	1.0	4.0	36.0	20.0	12.097	19.4179	40.8433	60.0	84.9949	55.8496	73.4281	166.238	138.236	317.93	23.0	4.0	12.0	26.2324	13.0	26.166
BC332_26002_mrna	624.0	553.0	382.0	642.598	503.642	489.484	756.0	663.0	723.654	624.0	624.626	612.0	525.0	783.0	662.0	410.0	481.0	573.0	644.0	316.0	516.0
BC332_26806_mrna	7.42932	13.1642	13.4831	11.8077	20.8581	35.2002	27.9854	12.3839	12.176	11.221	16.0172	10.6422	0.0	0.0	4.77509	0.0	0.0	0.0	0.0	0.0	0.0
BC332_12105_mrna	198.0	130.0	88.0	427.0	300.0	276.0	545.0	498.0	605.0	353.0	338.0	232.0	193.0	208.0	265.0	9.0	32.0	10.0	36.0	46.0	16.0
BC332_24878_mrna	6.0	5.0	4.0	26.0	28.0	5.0	19.0	18.0	32.0	25.0	23.0	5.0	12.0	40.0	18.0	5.0	8.0	8.0	11.0	0.0	13.0
BC332_03929_mrna	1931.0	1855.0	1145.0	2661.0	2676.0	2972.0	3709.0	2468.0	3417.0	4601.0	3357.0	3910.0	2973.0	3574.0	4068.0	2075.0	1968.0	2195.0	3183.0	5379.0	2556.0
BC332_34906_mrna	3.0	0.00787609	6.0	0.0	0.0	2.0	1.00987	1.80531	0.809774	2.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_31166_mrna	10.0	13.0	5.0	26.0	50.0	18.0	15.0	7.0	15.0	0.0	1.00033	2.00066	5.0	11.0	3.0	95.0	125.062	117.0	107.0	356.0	114.0
BC332_07047_mrna	23.0	42.0	31.0	4.0	2.0	0.0	0.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	1.0
BC332_13396_mrna	4.82071	16.5775	6.77995	14.2618	9.07573	6.87285	7.90936	1.60065	14.2389	9.20245	2.86602	16.1938	9.56881	3.05897	6.68634	4.82481	4.68255	12.9817	4.57017	41.3588	10.4506
BC332_03666_mrna	376.0	454.0	235.0	432.0	331.0	363.0	519.0	357.0	576.0	1077.0	809.0	1015.0	861.0	816.0	1002.0	549.0	501.0	505.0	995.0	1146.0	893.0
BC332_08809_mrna	12.0	5.0	12.0	14.0	6.0	10.2898	7.33424	7.0	5.0	32.0	24.0	11.0	7.0	3.0	10.0	3.0	1.0	1.0	3.0	1.0	2.0
BC332_28340_mrna	245.0	249.0	124.0	818.0	662.0	637.0	808.0	731.0	874.0	474.0	385.0	408.0	388.0	463.0	431.0	204.0	177.0	229.0	371.0	242.0	268.0
BC332_17638_mrna	591.0	770.0	391.0	511.0	469.0	452.0	517.0	349.0	660.0	1170.0	1017.0	1057.0	1326.0	1512.0	1333.0	1036.0	828.0	764.0	1563.0	1312.0	1265.0
BC332_20102_mrna	4.0	1.0	8.0	6.0	9.0	4.0	1.0	2.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
BC332_27672_mrna	54.7664	44.7632	41.9155	33.7367	37.3205	32.2676	14.0893	23.8626	32.0709	10.5768	0.349832	0.0	80.8979	35.6193	24.3946	3.53906	29.6724	23.6503	51.1992	38.4516	56.2015
BC332_03610_mrna	2072.13	6130.5	2245.64	8.0	7.0	4.0	0.0	0.0	2.0	0.0	0.0	0.0	2.5	1.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0
BC332_24021_mrna	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_05544_mrna	780.0	668.0	387.0	1102.0	1038.0	1333.0	454.0	285.0	305.0	44.0	69.0	23.0	6.0	12.0	5.0	3.0	0.0	0.0	0.0	1.0	0.0
BC332_01158_mrna	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	16.0	25.0	59.0	53.0	74.0
BC332_34634_mrna	155.0	166.0	118.0	32.0	49.0	39.0	52.0	61.0	65.0	93.0	91.0	103.0	117.0	124.0	191.0	33.0	50.0	51.0	50.0	161.0	69.0
BC332_07555_mrna	935.0	769.0	579.0	1271.0	1016.0	2146.0	446.0	394.0	484.0	408.0	474.0	338.0	13.0	30.0	47.0	2.0	2.0	4.0	1.0	4.0	8.0
BC332_24185_mrna	113.0	52.0	45.0	182.0	142.0	341.0	28.0	33.0	40.0	25.0	15.0	6.0	0.0	2.0	4.0	0.0	0.0	1.0	2.0	1.0	0.0
BC332_07039_mrna	294.0	289.0	217.0	486.0	500.0	488.0	703.0	438.0	696.0	1582.0	1223.0	1312.0	663.0	523.0	2394.0	827.0	296.0	493.0	10401.0	10403.0	8036.0
BC332_10977_mrna	315.0	296.0	201.0	298.0	226.0	277.0	241.0	202.0	326.0	957.0	848.0	1196.0	679.0	710.0	837.0	486.0	340.0	332.0	989.0	1539.0	891.0
BC332_31151_mrna	3.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_30461_mrna	1935.0	1698.0	1197.0	1928.0	2248.0	2342.0	1673.0	1175.0	1613.0	1607.0	1173.0	1287.0	1106.0	1500.0	1215.0	359.0	434.0	388.0	894.0	1578.0	741.0
BC332_23689_mrna	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_15858_mrna	466.0	473.0	310.0	433.0	360.0	400.0	505.0	465.0	593.0	532.0	585.0	456.0	275.0	362.0	447.0	201.0	205.0	177.0	346.0	313.0	240.0
BC332_08886_mrna	17.0	16.0	9.0	8.0	5.0	2.0	19.0	8.0	22.0	4.0	20.0	5.0	7.0	14.0	3.0	17.0	33.0	15.0	18.0	42.0	7.0
BC332_26053_mrna	442.0	357.0	184.0	295.0	200.0	278.0	359.0	252.0	393.0	558.0	417.0	363.0	381.0	495.0	575.0	141.0	172.0	173.0	288.0	223.0	172.0
BC332_03191_mrna	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_16531_mrna	905.0	786.0	519.0	610.0	478.0	569.0	391.0	352.0	455.0	869.0	662.0	1113.0	2557.0	2662.0	3613.0	336.0	369.0	225.0	293.0	429.0	267.0
BC332_06133_mrna	173.0	65.0	99.0	568.0	566.0	615.0	78.0	34.0	50.0	78.0	79.0	57.0	19.0	10.0	63.0	3.0	4.0	5.0	6.0	4.0	6.0
BC332_31048_mrna	127.0	383.0	149.0	6.0	4.0	9.0	1.0	0.0	0.0	2.0	9.0	9.0	6.0	4.0	8.0	3.0	7.0	2.0	0.0	6.0	0.0
BC332_08619_mrna	0.0	5.0	1.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_32910_mrna	238.0	230.0	171.0	286.0	148.0	142.0	324.0	330.0	442.0	370.0	305.0	358.0	302.0	422.0	278.0	391.0	543.0	607.0	736.0	789.0	604.0
BC332_08870_mrna	962.0	787.0	576.0	798.0	751.0	703.0	734.0	706.0	956.0	1217.0	1328.0	1329.0	1639.0	1293.0	1878.0	368.0	271.0	269.0	846.0	493.0	775.0
BC332_14698_mrna	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.03926	1.11177	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0
BC332_08315_mrna	92.0	79.0	40.0	85.0	86.0	76.0	100.0	103.0	170.0	168.0	145.0	127.0	44.0	74.0	81.0	66.0	32.0	52.0	77.0	84.0	79.0
BC332_12086_mrna	779.275	623.726	419.215	1000.55	912.33	755.848	744.051	599.512	742.913	536.412	568.838	504.662	421.159	494.314	596.361	157.824	132.07	186.184	339.885	358.329	396.728
BC332_20054_mrna	0.0	5.0	1.02701	3.0	1.19515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.02264	0.0	0.0	0.0	0.0	0.0	0.0
BC332_29965_mrna	119.0	80.0	64.0	99.0	110.0	109.0	79.0	58.0	84.0	46.0	63.0	56.0	26.0	20.0	44.959	3.0	1.0	0.0	7.0	7.0	2.0
BC332_06441_mrna	142.0	128.0	130.0	234.0	77.0	182.0	563.0	430.0	1024.0	5616.0	4573.0	4664.0	8760.0	8111.0	11774.0	1872.0	2596.0	1887.0	1910.0	6614.0	2219.0
BC332_18031_mrna	107.0	342.0	132.0	14.0	12.0	15.0	7.0	5.0	3.0	5.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
BC332_12463_mrna	12.0833	11.38	11.0493	62.6558	61.676	27.5162	30.548	31.9297	45.3196	22.6041	40.9966	18.901	22.6089	27.2143	20.6689	4.0472	8.26034	9.22358	19.778	6.06593	18.5439
BC332_10301_mrna	0.0	7.0	1.0	9.0002	4.0001	0.0	3.00015	0.0	1.00003	0.0	0.0	0.0	1.00001	0.0	0.0	1.00003	0.0	0.0	0.0	0.0	0.0
BC332_10720_mrna	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_16588_mrna	189.0	161.0	94.0	75.0	46.0	122.0	20.0	17.0	17.0	9.0	7.0	0.0	3.0	0.0	5.0	0.0	2.0	0.0	6.0	0.0	0.0
BC332_20970_mrna	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_08080_mrna	119.0	103.0	55.0	55.0	60.0	122.0	49.0	32.0	32.0	6.0	7.0	5.0	5.0	0.0	5.0	2.0	0.0	2.0	1.0	0.0	6.0
BC332_18696_mrna	1073.3	1017.35	560.647	831.305	905.395	1142.14	944.545	694.995	822.267	603.346	609.209	445.428	409.092	458.557	431.972	525.457	558.621	672.925	619.999	675.696	450.12
BC332_29120_mrna	1653.0	1338.0	953.0	1576.0	1342.0	1326.0	1302.0	1168.0	1481.0	1894.0	1806.0	1465.0	1277.0	1078.0	1811.0	674.0	617.0	660.0	966.0	756.0	898.0
BC332_08445_mrna	4256.0	11899.0	4321.0	21.0	9.0	11.0	25.0	25.0	12.0	10.0	3.0	7.0	1.0	0.0	4.0	2.0	0.0	0.0	2.0	0.0	0.0
BC332_05298_mrna	5.0	10.0	5.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	5.0	8.0	7.0	3.0	18.0	47.0	43.0	38.0	24.0	15.0	18.0
BC332_33993_mrna	0.742652	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_05095_mrna	100.0	71.0	47.0	38.0	35.0	37.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_10446_mrna	1464.0	1223.0	842.0	975.0	801.0	664.0	1139.0	717.0	1272.0	455.0	382.0	352.0	871.0	4809.0	2581.0	60.0	101.0	106.0	106.0	66.0	76.0
BC332_33573_mrna	259.439	201.123	114.576	467.85	421.1	231.205	423.5	378.458	500.85	551.449	509.755	560.303	880.932	812.936	1048.03	363.492	430.48	457.856	533.493	127.342	414.124
BC332_01441_mrna	28.0	34.0	12.0	63.0	62.3203	70.0	110.0	75.0	89.0	138.0	96.0	113.0	87.0	118.0	119.0	89.0	133.0	130.0	127.0	28.0	116.348
BC332_28124_mrna	136.0	105.0	64.0	81.0	84.0	103.0	59.0	54.0	70.0	113.0	89.0	164.0	162.0	138.0	197.0	90.0	120.0	134.0	141.0	185.0	137.0
BC332_31692_mrna	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_26649_mrna	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
